#{"t_start": 1701518724.9564555, "env_id": "PandaReachDense-v3"}
r,l,t
-0.115265,2,90.364036
-1.35548,14,90.415307
-0.934858,13,90.460907
-0.243794,3,90.469715
-0.821627,7,90.489995
-0.407813,4,90.501587
-0.259287,4,90.51939
-0.386028,4,90.531687
-0.368316,4,90.544339
-0.290389,4,90.555695
-0.120068,2,90.562975
-0.620074,5,90.581102
-0.44405,5,90.600211
-0.54121,5,90.616232
-0.387629,5,90.630182
-0.280459,4,90.644882
-0.555769,8,90.669919
-1.115979,10,90.700845
-0.848885,8,90.730575
-0.885398,8,90.75669
-0.537257,5,90.772404
-0.462796,4,90.785937
-0.137142,3,90.796005
-0.556352,7,90.815632
-0.580619,7,90.840044
-0.454232,6,90.85793
-0.374694,4,90.870365
-0.104568,2,90.878245
-0.293096,4,90.890952
-0.158148,2,90.89722
-0.410182,5,90.918848
-1.65598,18,90.986924
-0.420946,5,91.001902
-0.857796,10,91.033751
-0.602341,7,91.060983
-0.331346,4,91.076544
-0.683007,9,91.109827
-0.530132,7,91.135038
-0.701106,6,91.159212
-1.317981,14,91.214247
-0.374398,5,91.231524
-0.285183,4,91.247156
-0.930992,9,91.295224
-0.701827,7,91.321472
-1.363358,16,91.383983
-1.415123,14,91.441242
-1.754677,14,91.492647
-0.459364,6,91.512241
-0.212716,3,91.523826
-0.201464,3,91.532211
-0.891068,7,91.552219
-0.902322,6,91.571257
-0.461267,4,91.584822
-0.270336,4,91.598692
-0.971301,11,91.629766
-1.066266,10,91.660723
